Title;Time;Owner;Asset Name;Severity;Status;Solution;Results
Microsoft SQL Server Multiple Vulnerabilities for March 2026;BD;Armando Junior;srv20wbd007;3;ACTIVE;"Refer to,
CVE-2026-26116
CVE-2026-21262
CVE-2026-26115(Refer to,
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-26116
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21262
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-26115)";"MSSQL 2019 Version is 2019.150.4455.2 Patch Version: 2019.150.4460.4
"
Microsoft SQL Server Multiple Vulnerabilities for March 2026;BD;Armando Junior;srv10wbd015;3;ACTIVE;"Refer to,
CVE-2026-26116
CVE-2026-21262
CVE-2026-26115(Refer to,
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-26116
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-21262
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-26115)";"MSSQL 2022 Version is 2022.160.4215.2 Patch Version: 2022.160.4240.4
"
Microsoft SQL Server Elevation of Privilege Vulnerability For November 2025;BD;Armando Junior;srv10wbd015;4;ACTIVE;"Vendor has released the patch, customers are advised to refer to Refer to,
Microsoft SQL Server Security Advisory (CVE-2025-59499) for further information related to remediating this vulnerability.(Vendor has released the patch, customers are advised to refer to Refer to,
https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-59499)";"MSSQL 2022 Version is 2022.160.4215.2 Patch Version: 2022.160.4222.2
"
Oracle Java SE Critical Patch Update - October 2021 (CPUOCT2021);BD;Armando Junior;srv10las100;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - October 2021 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpuoct2021.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java Standard Edition (SE) Critical Patch Update - January 2025 (CPUJAN2025);BD;Armando Junior;srv10las100;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - January 2205 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpujan2025.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java Standard Edition (SE) Critical Patch Update - October 2023 (CPUOCT2023);BD;Armando Junior;srv10las100;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - October 2023 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpuoct2023.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java Standard Edition (SE) Critical Patch Update - July 2024 (CPUJUL2024);BD;Armando Junior;srv10las100;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - July 2024 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpujul2024.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java Standard Edition (SE) Critical Patch Update - January 2024 (CPUJAN2024);BD;Armando Junior;srv10las100;4;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - January 2024 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpujan2024.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java SE Critical Patch Update - January 2021 (CPUJAN2021);BD;Armando Junior;srv10las100;3;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - January 2021 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpujan2021.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
Oracle Java SE Critical Patch Update - April 2021 (CPUAPR2021);BD;Armando Junior;srv10las100;3;ACTIVE;"The vendor has released updates to resolve these issues. 

Customers are advised to refer to vendor advisory Oracle Critical Patch Update Advisory - April 2021 (The vendor has released updates to resolve these issues. 
<P>
https://www.oracle.com/security-alerts/cpuapr2021.html#AppendixJAVA)";"#table cols=""3""
Install_Location Version Detection_Type 
/opt/easy2l/jre1.8.0__202__64/bin/java 1.8.0__202-b08 Enhanced
"
