Title;Time;Owner;Asset Name;Severity;Status;Solution;Results
IP Forwarding Enabled;INFRA;Armando Junior;node2;2;ACTIVE;"Disable IP forwarding by following the appropriate instructions below: 

On Windows set the value of the following registry key to zero:  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\IPEnableRouter
On Linux, insert this line in your startup script: &quot;sysctl -w net.ipv4.ip_forward=0&quot;
On Solaris, HP-UX insert this line in your startup script: &quot;ndd -set /dev/ip ip_forwarding 0&quot;
On Mac OS X, insert this line in your startup script: &quot;sysctl -w net.inet.ip.forwarding=0&quot;
(Disable IP forwarding by following the appropriate instructions below: 
<UL>
<LI>On Windows set the value of the following registry key to zero:  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\IPEnableRouter
<LI>On Linux, insert this line in your startup script: &quot;sysctl -w net.ipv4.ip_forward=0&quot;
<LI>On Solaris, HP-UX insert this line in your startup script: &quot;ndd -set /dev/ip ip_forwarding 0&quot;
<LI>On Mac OS X, insert this line in your startup script: &quot;sysctl -w net.inet.ip.forwarding=0&quot;
</UL>)";"sysctl net.ipv4.ip_forward
net.ipv4.ip_forward = 1
"
SUSE Enterprise Linux Security Update for elfutils (SUSE-SU-2025:4092-1);INFRA;Armando Junior;node2;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4092-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023341.html);"#table cols=""3""
Package Installed_Version Required_Version
elfutils 0.185-150400.5.3.1.x86__64 0.185-150400.5.8.3
libelf1 0.185-150400.5.3.1.x86__64 0.185-150400.5.8.3
libasm1 0.185-150400.5.3.1.x86__64 0.185-150400.5.8.3
libdw1 0.185-150400.5.3.1.x86__64 0.185-150400.5.8.3
elfutils-lang 0.185-150400.5.3.1.noarch 0.185-150400.5.8.3
"
SUSE Enterprise Linux Security Update for cups-filters (SUSE-SU-2025:4158-1);INFRA;Armando Junior;node2;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4158-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023312.html);"#table cols=""3""
Package Installed_Version Required_Version
cups-filters 1.25.0-150200.3.22.1.x86__64 1.25.0-150200.3.25.1
"
SUSE Enterprise Linux Security Update for ghostscript (SUSE-SU-2025:4148-1);INFRA;Armando Junior;node2;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4148-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023308.html);"#table cols=""3""
Package Installed_Version Required_Version
ghostscript 9.52-150000.206.1.x86__64 9.52-150000.211.1
ghostscript-x11 9.52-150000.206.1.x86__64 9.52-150000.211.1
"
SUSE Enterprise Linux Security Update for openssh (SUSE-SU-2025:4067-1);INFRA;Armando Junior;node2;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:4067-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-November/023268.html);"#table cols=""3""
Package Installed_Version Required_Version
openssh 9.6p1-150600.6.29.2.x86__64 9.6p1-150600.6.34.1
openssh-server 9.6p1-150600.6.29.2.x86__64 9.6p1-150600.6.34.1
openssh-common 9.6p1-150600.6.29.2.x86__64 9.6p1-150600.6.34.1
openssh-clients 9.6p1-150600.6.29.2.x86__64 9.6p1-150600.6.34.1
"
SUSE Enterprise Linux Security Update for libxslt (SUSE-SU-2025:3875-1);INFRA;Armando Junior;node2;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3875-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/023084.html);"#table cols=""3""
Package Installed_Version Required_Version
libxslt1 1.1.34-150400.3.6.1.x86__64 1.1.34-150400.3.13.1
"
SUSE Enterprise Linux Security Update for poppler (SUSE-SU-2025:3779-1);INFRA;Armando Junior;node2;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3779-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/023010.html);"#table cols=""3""
Package Installed_Version Required_Version
libpoppler135 24.03.0-150600.3.19.1.x86__64 24.03.0-150600.3.24.1
poppler-tools 24.03.0-150600.3.19.1.x86__64 24.03.0-150600.3.24.1
libpoppler-cpp0 24.03.0-150600.3.19.1.x86__64 24.03.0-150600.3.24.1
"
SUSE Enterprise Linux Security Update for chrony (SUSE-SU-2025:3794-1);INFRA;Armando Junior;node2;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3794-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/022999.html);"#table cols=""3""
Package Installed_Version Required_Version
chrony 4.1-150400.21.5.7.x86__64 4.1-150400.21.8.1
chrony-pool-suse 4.1-150400.21.5.7.noarch 4.1-150400.21.8.1
"
SUSE Enterprise Linux Security Update for libqt5-qtbase (SUSE-SU-2025:3723-1);INFRA;Armando Junior;node2;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3723-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/022969.html);"#table cols=""3""
Package Installed_Version Required_Version
libQt5Core5 5.15.12+kde151-150600.3.6.1.x86__64 5.15.12+kde151-150600.3.9.1
libQt5Gui5 5.15.12+kde151-150600.3.6.1.x86__64 5.15.12+kde151-150600.3.9.1
libQt5Network5 5.15.12+kde151-150600.3.6.1.x86__64 5.15.12+kde151-150600.3.9.1
libQt5Widgets5 5.15.12+kde151-150600.3.6.1.x86__64 5.15.12+kde151-150600.3.9.1
libQt5DBus5 5.15.12+kde151-150600.3.6.1.x86__64 5.15.12+kde151-150600.3.9.1
"
SUSE Enterprise Linux Security Update for krb5 (SUSE-SU-2025:3699-1);INFRA;Armando Junior;node2;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2025:3699-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2025-October/022956.html);"#table cols=""3""
Package Installed_Version Required_Version
krb5 1.20.1-150600.11.11.2.x86__64 1.20.1-150600.11.14.1
krb5-client 1.20.1-150600.11.11.2.x86__64 1.20.1-150600.11.14.1
"
IP Forwarding Enabled;INFRA;Armando Junior;srv20las017;2;ACTIVE;"Disable IP forwarding by following the appropriate instructions below: 

On Windows set the value of the following registry key to zero:  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\IPEnableRouter
On Linux, insert this line in your startup script: &quot;sysctl -w net.ipv4.ip_forward=0&quot;
On Solaris, HP-UX insert this line in your startup script: &quot;ndd -set /dev/ip ip_forwarding 0&quot;
On Mac OS X, insert this line in your startup script: &quot;sysctl -w net.inet.ip.forwarding=0&quot;
(Disable IP forwarding by following the appropriate instructions below: 
<UL>
<LI>On Windows set the value of the following registry key to zero:  HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Tcpip\Parameters\IPEnableRouter
<LI>On Linux, insert this line in your startup script: &quot;sysctl -w net.ipv4.ip_forward=0&quot;
<LI>On Solaris, HP-UX insert this line in your startup script: &quot;ndd -set /dev/ip ip_forwarding 0&quot;
<LI>On Mac OS X, insert this line in your startup script: &quot;sysctl -w net.inet.ip.forwarding=0&quot;
</UL>)";"sysctl net.ipv4.ip_forward
net.ipv4.ip_forward = 1
"
SUSE Enterprise Linux Security Update for libsoup (SUSE-SU-2026:0894-1);INFRA;Armando Junior;srv20las017;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0894-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024697.html);"#table cols=""3""
Package Installed_Version Required_Version
libsoup-3__0-0 3.4.4-150600.3.18.1.x86__64 3.4.4-150600.3.42.1
libsoup-lang 3.4.4-150600.3.18.1.noarch 3.4.4-150600.3.42.1
"
SUSE Enterprise Linux Security Update for libsoup2 (SUSE-SU-2026:0886-1);INFRA;Armando Junior;srv20las017;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0886-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024687.html);"#table cols=""3""
Package Installed_Version Required_Version
libsoup-2__4-1 2.74.3-150600.4.12.1.x86__64 2.74.3-150600.4.33.1
libsoup2-lang 2.74.3-150600.4.12.1.noarch 2.74.3-150600.4.33.1
"
SUSE Enterprise Linux Security Update for libsoup2 (SUSE-SU-2026:0811-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0811-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024600.html);"#table cols=""3""
Package Installed_Version Required_Version
libsoup-2__4-1 2.74.3-150600.4.12.1.x86__64 2.74.3-150600.4.30.1
libsoup2-lang 2.74.3-150600.4.12.1.noarch 2.74.3-150600.4.30.1
"
SUSE Enterprise Linux Security Update for gnutls (SUSE-SU-2026:0829-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0829-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024630.html);"#table cols=""3""
Package Installed_Version Required_Version
libgnutls30 3.8.3-150600.4.9.1.x86__64 3.8.3-150600.4.17.1
"
SUSE Enterprise Linux Security Update for libxslt (SUSE-SU-2026:0801-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0801-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024570.html);"#table cols=""3""
Package Installed_Version Required_Version
libxslt1 1.1.34-150400.3.13.1.x86__64 1.1.34-150400.3.16.1
"
SUSE Enterprise Linux Security Update for libsoup (SUSE-SU-2026:0788-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0788-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024530.html);"#table cols=""3""
Package Installed_Version Required_Version
libsoup-3__0-0 3.4.4-150600.3.18.1.x86__64 3.4.4-150600.3.37.1
libsoup-lang 3.4.4-150600.3.18.1.noarch 3.4.4-150600.3.37.1
"
SUSE Enterprise Linux Security Update for zlib (SUSE-SU-2026:0783-1);INFRA;Armando Junior;srv20las017;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0783-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024535.html);"#table cols=""3""
Package Installed_Version Required_Version
libz1 1.2.13-150500.4.3.1.x86__64 1.2.13-150500.4.6.1
"
SUSE Enterprise Linux Security Update for shim (SUSE-SU-2026:0741-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0741-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-March/024522.html);"#table cols=""3""
Package Installed_Version Required_Version
shim 15.8-150300.4.23.1.x86__64 16.1-150300.4.31.3
"
SUSE Enterprise Linux Security Update for python3 (SUSE-SU-2026:0664-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0664-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024446.html);"#table cols=""3""
Package Installed_Version Required_Version
python3-base 3.6.15-150300.10.97.1.x86__64 3.6.15-150300.10.106.1
libpython3__6m1__0 3.6.15-150300.10.97.1.x86__64 3.6.15-150300.10.106.1
python3 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.106.1
python3-curses 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.106.1
python3-dbm 3.6.15-150300.10.97.2.x86__64 3.6.15-150300.10.106.1
"
SUSE Enterprise Linux Security Update for expat (SUSE-SU-2026:0646-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0646-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024401.html);"#table cols=""3""
Package Installed_Version Required_Version
libexpat1 2.7.1-150700.3.6.1.x86__64 2.7.1-150700.3.9.2
expat 2.7.1-150700.3.6.1.x86__64 2.7.1-150700.3.9.2
"
SUSE Enterprise Linux Security Update for libxml2 (SUSE-SU-2026:0605-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0605-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024371.html);"#table cols=""3""
Package Installed_Version Required_Version
libxml2-2 2.12.10-150700.4.6.1.x86__64 2.12.10-150700.4.11.1
libxml2-tools 2.12.10-150700.4.6.1.x86__64 2.12.10-150700.4.11.1
"
SUSE Enterprise Linux Security Update for python-urllib3 (SUSE-SU-2026:0443-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0443-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024105.html);"#table cols=""3""
Package Installed_Version Required_Version
python3-urllib3 1.25.10-150300.4.18.1.noarch 1.25.10-150300.4.21.1
"
SUSE Enterprise Linux Security Update for sqlite3 (SUSE-SU-2026:0432-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0432-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024116.html);"#table cols=""3""
Package Installed_Version Required_Version
sqlite3-tcl 3.50.2-150000.3.33.1.x86__64 3.51.2-150000.3.36.1
libsqlite3-0 3.50.2-150000.3.33.1.x86__64 3.51.2-150000.3.36.1
"
SUSE Enterprise Linux Security Update for glib2 (SUSE-SU-2026:0373-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0373-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024047.html);"#table cols=""3""
Package Installed_Version Required_Version
libgobject-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
libgio-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
libgmodule-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
libglib-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
libgthread-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
glib2-tools 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.35.1
glib2-lang 2.78.6-150600.4.16.1.noarch 2.78.6-150600.4.35.1
"
SUSE Enterprise Linux Security Update for protobuf (SUSE-SU-2026:0374-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0374-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024046.html);"#table cols=""3""
Package Installed_Version Required_Version
libprotobuf-lite25__1__0 25.1-150600.16.13.1.x86__64 25.1-150600.16.16.1
"
SUSE Enterprise Linux Security Update for libpng16 (SUSE-SU-2026:0364-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0364-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-February/024034.html);"#table cols=""3""
Package Installed_Version Required_Version
libpng16-16 1.6.40-150600.1.3.x86__64 1.6.40-150600.3.9.1
"
SUSE Enterprise Linux Security Update for openjpeg2 (SUSE-SU-2026:0330-1);INFRA;Armando Junior;srv20las017;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0330-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023982.html);"#table cols=""3""
Package Installed_Version Required_Version
libopenjp2-7 2.3.0-150000.3.21.1.x86__64 2.3.0-150000.3.24.1
"
SUSE Enterprise Linux Security Update for abseil-cpp (SUSE-SU-2026:0338-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0338-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023984.html);"#table cols=""3""
Package Installed_Version Required_Version
libabsl2401__0__0 20240116.3-150600.19.3.15.x86__64 20240116.3-150600.19.6.1
"
SUSE Enterprise Linux Security Update for harfbuzz (SUSE-SU-2026:0287-1);INFRA;Armando Junior;srv20las017;3;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0287-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023911.html);"#table cols=""3""
Package Installed_Version Required_Version
libharfbuzz0 8.3.0-150600.1.3.x86__64 8.3.0-150600.3.3.1
"
SUSE Enterprise Linux Security Update for glib2 (SUSE-SU-2026:0286-1);INFRA;Armando Junior;srv20las017;2;ACTIVE;Refer to SUSE security advisory  SUSE-SU-2026:0286-1 for updates and patch information.(https://lists.suse.com/pipermail/sle-security-updates/2026-January/023912.html);"#table cols=""3""
Package Installed_Version Required_Version
libglib-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
libgmodule-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
libgobject-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
libgthread-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
glib2-tools 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
libgio-2__0-0 2.78.6-150600.4.16.1.x86__64 2.78.6-150600.4.28.1
glib2-lang 2.78.6-150600.4.16.1.noarch 2.78.6-150600.4.28.1
"
